lambda_um	epsilon	I_BB
11.08005	96.21086	113498243.21600966
11.06823	96.17183	113936763.2353668
11.05643	96.1592	114376645.79241082
11.04466	96.1829	114817516.76310672
11.03291	96.22619	115259749.3368964
11.02118	96.25931	115703344.78848141
11.00948	96.26391	116147923.4776061
10.99781	96.23616	116593481.16817926
10.98616	96.18306	117040398.09242058
10.97453	96.11568	117488675.3796537
10.96293	96.04399	117937925.92707379
10.95135	95.97562	118388535.3238889
10.9398	95.91739	118840112.69482422
10.92827	95.87665	119293047.22539589
10.91677	95.86039	119746944.24090083
10.90529	95.87133	120202196.54791193
10.89384	95.87964	120658405.64533901
10.8824	95.83159	121116369.24666724
10.871	95.78724	121574884.36567076
10.85961	95.72804	122035155.55417347
10.84825	95.64388	122496375.33326149
10.83692	95.50405	122958538.67663053
10.82561	95.18959	123422051.27429911
10.81432	94.84563	123886913.7341341
10.80305	94.53394	124353126.63415097
10.79181	94.31609	124820273.93989891
10.78059	94.23643	125288768.85839108
10.7694	94.3099	125758191.37534817
10.75823	94.51845	126228958.48510589
10.74708	94.81666	126701070.56846382
10.73595	95.14418	127174527.97481336
10.72485	95.44059	127648902.66606076
10.71377	95.65874	128124619.309562
10.70272	95.77306	128601245.80290195
10.69168	95.78188	129079645.01198514
10.68067	95.70412	129558950.42134564
10.66968	95.57178	130039594.47617072
10.65872	95.42033	130521136.87937823
10.64777	95.27907	131004456.39701118
10.63685	95.16364	131488670.24789667
10.62595	95.07251	131974218.76183632
10.61508	94.9887	132460653.33182675
10.60422	94.88703	132948868.84206948
10.59339	94.74502	133437966.01930444
10.58258	94.55457	133928393.18491185
10.5718	94.33015	134419693.30661783
10.56103	94.10963	134912777.6050565
10.55029	93.94602	135406730.088311
10.53956	93.89138	135902470.23928228
10.52886	93.97762	136399073.6299763
10.51819	94.18574	136896533.50207618
10.50753	94.2876	137395781.81544656
10.49689	94.42808	137896352.88490486
10.48628	94.55219	138397772.49587953
10.47569	94.61385	138900509.43358785
10.46512	94.59068	139404563.04562172
10.45457	94.48985	139909932.64155436
10.44404	94.34315	140416617.49269447
10.43353	94.01753	140924616.83184063
10.42305	93.57672	141433443.2418785
10.41258	93.22521	141944066.91506058
10.40214	93.0045	142455511.54685378
10.39171	92.92473	142968755.98698676
10.38131	92.96926	143482815.0854627
10.37093	93.10479	143998178.803103
10.36057	93.29206	144514846.0737141
10.35023	93.49366	145032815.79061267
10.33991	93.6779	145552086.80638352
10.32961	93.82036	146072657.93263498
10.31933	93.90509	146594527.9397562
10.30908	93.92695	147117184.5177893
10.29884	93.89369	147641646.16613245
10.28862	93.82574	148167402.74923843
